ID,National_Parks,Urort_Skov,Fondsejede,Natura2000,River_valley_bottoms,intersections,Percentage
01,0,0,0,0,1,Exclusive,4.896968442273283
02,0,0,0,1,0,Exclusive,3.1557118806339544
03,0,0,0,1,1,Non-exclusive,2.050318722279397
04,0,1,0,1,0,Non-exclusive,0.6240434520860992
05,0,1,0,0,0,Exclusive,0.3104625595878961
06,0,0,1,1,1,Non-exclusive,0.24162259085314153
07,1,0,0,1,0,Non-exclusive,0.2375653277644746
08,0,0,1,1,0,Non-exclusive,0.19593370601507348
09,1,0,0,0,0,Exclusive,0.14480037045133926
10,0,1,0,1,1,Non-exclusive,0.10840367267341093
11,1,1,0,1,0,Non-exclusive,0.09626804067915146
12,0,1,0,0,1,Non-exclusive,0.05515281893897913
13,0,0,1,0,1,Non-exclusive,0.03992504487868677
14,1,0,0,1,1,Non-exclusive,0.03907210410940404
15,0,0,1,0,0,Exclusive,0.01836279494217234
16,0,0,0,1,0,Exclusive,0.012018120861100145
17,1,1,0,1,1,Non-exclusive,0.011443312951366125
18,1,1,0,0,0,Non-exclusive,0.010508554765899472
19,0,0,0,0,1,Exclusive,0.00874055688870145
20,0,0,0,1,1,Non-exclusive,0.007044178222837222
21,1,0,0,0,1,Non-exclusive,0.0058595640185426364
22,0,0,1,1,1,Non-exclusive,0.0050849640046994535
23,0,0,1,1,0,Non-exclusive,0.00441906758346323
24,0,0,1,0,0,Exclusive,0.0014017896121255435
25,1,1,0,0,1,Non-exclusive,7.254632086562418e-4
26,0,1,1,0,1,Non-exclusive,3.040919264399327e-4
27,0,0,1,0,1,Non-exclusive,1.2840467015832522e-4
28,1,0,1,1,0,Non-exclusive,1.6224416807008604e-6
29,0,1,1,1,0,Non-exclusive,1.6224416807008604e-6
30,0,1,1,0,0,Non-exclusive,1.3906642977435946e-6
31,0,1,1,1,1,Non-exclusive,4.6355476591453154e-7
32,1,1,1,1,0,Non-exclusive,2.3177738295726577e-7
